Unnamed: 0,transaction_id,description,trnref,dob_new,price_new,customer_type,age_group,item_type,class_name,subclass_name,nova,standard_uom,uom_criteria,conversion,price_uom,class_name_uom
93,001_003-55,PILAU MASALA 50G PKT CHARSCO,55,,60.0,No-Loyalty card,,Food Item,HERBS AND SPICES,SPICES - PILAU MASALA,Unprocessed/Minimally processed foods,KGS,50G,0.05,1200.0,HERBS AND SPICES (KGS)
94,001_003-55,BRANDED SUGAR 1KG BROWN,55,,110.0,No-Loyalty card,,Food Item,SUGAR,BROWN SUGAR,Processed Culinary Ingredients,KGS,1KG,1.0,110.0,SUGAR (KGS)
95,001_003-56,BUTTERFLY STANDARD SPAGHETTI 400GM,56,,47.0,No-Loyalty card,,Food Item,PASTAS,PASTA - SPAGHETTI,Unprocessed/Minimally processed foods,KGS,400GM,0.4,117.5,PASTAS (KGS)
96,001_003-56,PEPTANG S-BERRY JAM 500G PET,56,,154.0,No-Loyalty card,,Food Item,JAM/OTHER SPREADS,FRUIT JAM,Ultra-processed foods,KGS,500G,0.5,308.0,JAM/OTHER SPREADS (KGS)
97,001_003-56,CHIGS SALTED CRISPS 50G PLN,56,,45.0,No-Loyalty card,,Food Item,SWEET AND SAVOURY SNACKS,POTATO CRISPS,Ultra-processed foods,KGS,50G,0.05,900.0,SWEET AND SAVOURY SNACKS (KGS)
98,001_003-56,AJAB SELF RAISING 2KG,56,,118.0,No-Loyalty card,,Food Item,WHEAT FLOUR,WHEAT FLOUR,Unprocessed/Minimally processed foods,KGS,2KG,2.0,59.0,WHEAT FLOUR (KGS)
99,001_003-58,EXE SELF RAISING 2KG,58,,129.0,No-Loyalty card,,Food Item,WHEAT FLOUR,WHEAT FLOUR,Unprocessed/Minimally processed foods,KGS,2KG,2.0,64.5,WHEAT FLOUR (KGS)
100,001_003-58,AJAB MAIZE MEAL 2KG,58,,112.0,No-Loyalty card,,Food Item,MAIZE/CORN FLOUR,MAIZE FLOUR,Unprocessed/Minimally processed foods,KGS,2KG,2.0,56.0,MAIZE/CORN FLOUR (KGS)
101,001_003-58,KENSALT TABLE SALT 1KG,58,,32.0,No-Loyalty card,,Food Item,SALT,TABLE SALT,Processed Culinary Ingredients,KGS,1KG,1.0,32.0,SALT (KGS)
102,001_003-58,FESTIVE CREAM ROLL 70G CHOC,58,,25.0,No-Loyalty card,,Food Item,BUNS/ROLLS,SWEET ROLLS,Ultra-processed foods,KGS,70G,0.07,357.1428571428571,BUNS/ROLLS (KGS)
103,001_003-60,FRESH FRI 2L,60,,335.0,No-Loyalty card,,Food Item,COOKING OIL,VEGETABLE OIL,Processed Culinary Ingredients,LTRS,2L,2.0,167.5,COOKING OIL (LTRS)
104,001_003-60,BRANDED SUGAR 2KG BROWN,60,,210.0,No-Loyalty card,,Food Item,SUGAR,BROWN SUGAR,Processed Culinary Ingredients,KGS,2KG,2.0,105.0,SUGAR (KGS)
105,001_003-61,JAMBY FAMILY PORRIDGE 500G,61,,85.0,No-Loyalty card,,Food Item,PORRIDGE FLOUR,PORRIDGE FLOUR - MILLET,Unprocessed/Minimally processed foods,KGS,500G,0.5,170.0,PORRIDGE FLOUR (KGS)
106,001_003-61,FESTIVE CREAM ROLL 70G CHOC,61,,25.0,No-Loyalty card,,Food Item,BUNS/ROLLS,SWEET ROLLS,Ultra-processed foods,KGS,70G,0.07,357.1428571428571,BUNS/ROLLS (KGS)
